ID,ID2,OBJECTID,GISJOIN,DECADE,NHGISNAM,NHGISST,NHGISCTY,ICPSRST,ICPSRCTY,ICPSRNAM,STATENAM,SHAPE_AREA,SHAPE_LEN,AreaI,Geo_FIPS,Area Name,Qualifying Area Name,Land Area,Summary Level,FIPS,State FIPS,County FIPS,Total Population,Total Area in Square Miles,"Urban Population of Places With 2,500 People and Over","Urban Population of Cities With 25,000 People and Over",White Population,White: Male,White: Female,Colored Population,Colored: Male,Colored: Female,Free Colored Population,Free Colored: Male,Free Colored: Female,Slave Population,Slave: Male,Slave: Female,Percent Pop Urban,Percent Pop Place or Town,Percent Pop Slave ,Percent Pop Free of Color
"17647","65424","439","0100010","1860",Autauga,"010","0010","41","10",AUTAUGA,Alabama,2553623524.51,307917.894191,2553608587.40644,"0100010",Autauga County                ,"Autauga County, Alabama","985.9596","050","0100010","010","0010","16739","985.9595560865","0","0","7105","3612","3493","9621","4684","4937","14","7","7","9607","4677","4930",0,0,57.3929147499851,0.0836370153533664
"17648","65425","1886","0100030","1860",Baldwin,"010","0030","41","30",BALDWIN,Alabama,4999696274.53,815033.264322,4999694126.27168,"0100030",Baldwin County                ,"Baldwin County, Alabama","1930.394","050","0100030","010","0030","7530","1930.39352594029","0","0","3585","2056","1529","3854","2333","1521","140","67","73","3714","2266","1448",0,0,49.3227091633466,1.85922974767596
"17649","65426","440","0100050","1860",Barbour,"010","0050","41","50",BARBOUR,Alabama,2551271787.32,266287.471188,2551266289.63492,"0100050",Barbour County                ,"Barbour County, Alabama","985.0515","050","0100050","010","0050","30812","985.051545280041","0","0","14629","7490","7139","16183","8016","8167","33","20","13","16150","7996","8154",0,0,52.414643645333,0.107101129430092
"17650","65427","441","0100070","1860",Bibb,"010","0070","41","70",BIBB,Alabama,2201290777.37,248127.777625,2201288026.09342,"0100070",Bibb County                   ,"Bibb County, Alabama","849.9231","050","0100070","010","0070","11894","849.923121729345","0","0","8027","4045","3982","3867","1908","1959","25","9","16","3842","1899","1943",0,0,32.3020010089121,0.210190011770641
"17651","65428","442","0100090","1860",Blount,"010","0090","41","90",BLOUNT,Alabama,2452013534.31,220956.429355,2451883095.34698,"0100090",Blount County                 ,"Blount County, Alabama","946.7277","050","0100090","010","0090","10865","946.727719494311","0","0","10193","5165","5028","672","298","374","6","3","3","666","295","371",0,0,6.12977450529222,0.0552231937413714
"17652","65429","443","0100130","1860",Butler,"010","0130","41","130",BUTLER,Alabama,2591097954.96,233490.361673,2591082138.39044,"0100130",Butler County                 ,"Butler County, Alabama","1000.429","050","0100130","010","0130","18122","1000.42851459054","0","0","11260","5881","5379","6862","3437","3425","44","26","18","6818","3411","3407",0,0,37.6227789427216,0.242798808078579
"17653","65430","444","0100150","1860",Calhoun,"010","0150","41","150",CALHOUN/BENTON,Alabama,2754568231.25,243181.306679,2755100736.57691,"0100150",Calhoun County                ,"Calhoun County, Alabama","1063.545","050","0100150","010","0150","21539","1063.54474119844","0","0","17169","8624","8545","4370","2118","2252","28","11","17","4342","2107","2235",0,0,20.1587817447421,0.129996750081248
"17654","65431","445","0100170","1860",Chambers,"010","0170","41","170",CHAMBERS,Alabama,1935350388.31,190863.10418,1935612951.90998,"0100170",Chambers County               ,"Chambers County, Alabama","747.2430","050","0100170","010","0170","23214","747.242963347979","0","0","11315","5764","5551","11899","5933","5966","50","25","25","11849","5908","5941",0,0,51.0424743689153,0.215387266304816
"17655","65432","446","0100190","1860",Cherokee,"010","0190","41","190",CHEROKEE,Alabama,1854131251.15,225398.582271,1854073067.09277,"0100190",Cherokee County               ,"Cherokee County, Alabama","715.8841","050","0100190","010","0190","18360","715.884079138386","0","0","15321","7665","7656","3039","1495","1544","37","16","21","3002","1479","1523",0,0,16.3507625272331,0.201525054466231
"17656","65433","447","0100230","1860",Choctaw,"010","0230","41","230",CHOCTAW,Alabama,2385019602.56,275139.051252,2385018961.13248,"0100230",Choctaw County                ,"Choctaw County, Alabama","920.8612","050","0100230","010","0230","13877","920.861217805738","0","0","6767","3539","3228","7110","3561","3549","16","9","7","7094","3552","3542",0,0,51.1205591986741,0.115298695683505
