name,Location,Date,Fatalities,Regugees,Narrative/Notes,Source,Overflow,lon,lat
Shelbyville riot,"Shelbyville, Tennessee",13-Dec-1934,Unknown,Unknown,Placename sometimes given as Selbyville. White mob destroys courthouse.,http://goo.gl/jUIGPA,,-86.4602717,35.483406
Birmingham Mines Strike riot,"Birmingham, Alabama",17-Sep-1934,"2",Unknown,"Source behind paywall. Text copied here. ""COAL MINE RIOT.
NEGROES KILLED IN BATTLE WITH POLICE.
SOS FOR TROOPS.
Two negroes have been killed and several injured in a riot at coal mine near Birmingham (Alabama), in which crowd of 2,000 waged battle with the police. The crowd swept through the village, taking men from their homes
and beating them. The situation became so serious that the sheriff requested the Governor of Alabama to send troops.The crowd of miners which did the pillaging informed the police that they were fired upon when they entered an area where the United Mine Workers were holding rally.On the other hand, the deputy sheriffs declare that the firing started when the ""marchers"" began forcing their way into the homes of
negroes.—Reuter.""

Nottingham Evening Post - Monday 17 September 1934",http://goo.gl/EG516g,,-86.8024326,33.5206824
Honea Path Massacre,"Honea Path, South Carolina",6-Sep-1934,"6",Unknown (20+ wounded),"In an area of textile mills developed in the early 20th century, Honea Path was the site of a violent confrontation of between textile union workers and company management on September 6, 1934 during a strike and efforts at labor organizing. Textile factory guards killed six picketers and injured approximately twenty more in the altercation. The men were reported to have been shot fleeing the picket lines, and many were found with bullet wounds in their backs.
","http://www.beachamjournal.com/journal/2009/09/chiquola-mill-shootings-the-75th-anniversary.html
",,-82.3946055,34.4478795
Niagra Falls riot,"Niagra Falls, New York",21-Aug-1934,Unknown,Unknown,"Source behind paywall. Copied here. ""Three persons were seriously injured and many slight injuries
to-day in a furious race riot between 3.000 white people and negroes. Windows of shops and private houses were smashed. The riot was stated be the result of international workers’ meeting for rallying workers to aid negro arrested on charge of attacking a white girl. The police, however, state the real cause of the riot is the encroachment of the negroes on
the east side district largely populated Polish Americans.—Reuter""

Lancashire Evening Post - Tuesday 28 August 1934",http://goo.gl/OOucf4,,-78.943002,43.099093
Princess Anne Pogrom,"Princess Anne, Maryland",9-Aug-1934,Unknown,Unknown (100+?),"""The negro population of this Maryland eastern shore town, where a negro was lynched less than a year ago, was driven from the streets tonight by angry white men , some of them armed with clubs , bricks and knives. Sheriff Luther Daugherty, who with several of his deputies hurried here from Crisfield, was told the trouble began when a negro and a white boy started to fight. A free-for-all fight developed attracting a hundred or more white persons and soon all negroes left the vicinity.

For a short time there was quiet on the main street of the village until some one was reported to have suggested that negroes spending Saturday night in Princess Anne be run out of town. Almost immediately the white men, most of them young, began marching through the streets. Negroes, leaving hats and coats in their hurry, fled in all directions.

A short while later they made a rush into negro towns and began scattering men, women, and children. Screaming and with blood on some of them , the negroes fled in all directions, on foot and in automobiles, the whites after them with fists, clubs, bricks, and knives. Some of the negroes fought back, but soon fled. How many persons were injured and whether any were killed could not immediately be learned.""",http://idnc.library.illinois.edu/cgi-bin/illinois?a=d&d=DIL19340909.2.3#,,-75.6920008,38.2028428
Lynching of Henry Bedford,"Pelahatchee, Mississippi ",24-Jul-1934,"1",Unknown,"Henry Bedford, a black man, is taken from his home and flogged by white men for ""speaking disrespectfully to a young white man."" He dies on July 25. Four white men are arrested but no indictments are returned.

",,,-89.813935,32.337502
Tallasee riot,"Tallasee, Alabama",21-Dec-1932,2+,Unknown,"After a riot between white and black, only African Americans were arrested. Two subsequently died in police custody.",http://nwspprs.com/1klrd,,-85.845912,32.545764
Ste. Genevieve pogrom,"Ste. Genevieve, Missouri",16-Oct-1930,unknown,100+,"""In 1930 state troopers were twice called into the little town of Ste. Genevieve to prevent a triple lynching. The entire black population, with the exception of two families, left town after the threatened lynchings.""",http://goo.gl/ax4El2,,-90.1856637,37.88958
Emmelle riot,"Emmelle, Alabama",11-Sep-1930,"4",Unknown,"After a violent altercation between whites and blacks, the entire African American community was ordered to stay indoors ""for fear that the infuriated mob should vent its wrath in wholescale lynchings.""",http://goo.gl/299gsA,,-88.31448,32.7293
Sherman riot,"Sherman, Texas",5-Sep-1930,1+,Unknown,"""With dynamite and acetylene torches, the leaders of the [white] mob worked on the vault until they opened it just before midnight. More than 5,000 people filled the courthouse yard and lined an adjacent street. The militia had left. Hughes's body was thrown from the vault, then dragged behind a car to the front of a drugstore in the black business section, where it was hanged from a tree. The store furnishings were used to fuel a fire under the hanging corpse. The mob also burned down the drugstore and other businesses in the area and prevented firemen from saving the burning buildings. By daybreak of May 10, most of the town's black businesses, as well as a residence, lay in ashes. Among the businesses burned were the offices of a dentist, a doctor, and a civil rights lawyer, William J. Durham. After the mob subsided, a detachment of militia went to the area and cut down Hughes's charred body. The owners of two black undertaking establishments that had been destroyed were offered Hughes's remains, but because they no longer had operable places of business, the remains were turned over to a white undertaker. Hughes's remains were buried on the morning of May 10 near the Grayson county farm.""",https://goo.gl/qvjgIz,,-101.8858689,36.2452294
North Platte Pogrom,"North Platte, Nebraska",10-Jan-1929,Unknown,200+,"""Because a Negro killed a police officer in a Nebraska town, the entire Negro population of over 200 was driven out, and had to go, regardless of salvaging of house-hold goods. This was after the murderer was trapped in a basement,which was drenched with gasolene and fired, the Negro defeating the proposed-torture by killing himself. The Nebraska mob, like mobs in he North, was not satisfied with singling-out the guilty man and giving him punishment of the kind usually meted out by mobs but directed its vengeance upon the entire [African American] population.""",http://goo.gl/2XG9C3,,-100.7654232,41.1238873
Little Rock lynching and race riot,"Little Rock, Arkansas",5-May-1927,"1",Unknown,"Victim was later burned ""in the middle of the negro district""; perpetrated by over 1,000 white men",http://goo.gl/AlMK6P,,-92.2895948,34.7464809
Coffeeville race riot,"Coffeeville, Kansas",18-Mar-1927,"0",Unknown,"""1,000 whites attempted to invade the Negro district..guns and ammunition [were stolen from shops]...several Negroes were beaten on the streets"" but the attacked was repulsed by gunfire from the African American district. A local cavalry company was deployed to keep the white rioters back.",http://goo.gl/VtrZOb,,-95.698629,37.214527
