name,state,type,confirmed,sign,ordinance,showcase,id,Status
Anna,IL,"1","4","2","0","1","2474",Surely
Glendale,PA,"0","0","0","0","0","2473",Do not Know
Mize,MS,"1","4","3","0","1","2472",Surely
Baxterville,MS,"1","2","0","0","0","2471",Possible
d'Iberville,MS,"2","2","0","0","0","2470",Possible
Clinton,MS,"2","0","0","0","0","2469",Do not Know
Pearl,MS,"2","2","0","0","0","2468",Possible
Southaven,MS,"2","2","0","0","0","2467",Possible
Burnsville,MS,"1","3","0","0","0","2466",Probable
Belmont,MS,"1","2","0","0","0","2465",Possible
Buchanan County,VA,"4","3","2","0","1","2464",Probable
Colonial Heights,VA,"1","3","0","0","1","2463",Probable
Inglewood,CA,"2","4","1","1","0","2462",Surely
Hawthorne,CA,"2","4","1","1","1","2461",Surely
Chester,WV,"1","3","0","0","0","2460",Probable
Follansbee,WV,"1","3","0","0","0","2459",Probable
Kenova,WV,"1","2","0","0","0","2458",Possible
McMechen,WV,"1","2","0","0","0","2457",Possible
It,MS,"1","2","0","0","0","2456",Possible
Mound Bayou,MS,"1","9","4","4","0","2455",Black Town or Township
Renova,MS,"1","9","4","4","0","2454",Black Town or Township
New Bethlehem,PA,"1","2","0","0","0","2453",Possible
Warren,PA,"1","2","0","0","0","2452",Possible
New Africa,MS,"1","9","4","4","0","2451",Black Town or Township
Winstonville,MS,"1","9","4","4","0","2450",Black Town or Township
Expose,MS,"1","9","4","4","0","2449",Black Town or Township
Corry,PA,"1","3","0","0","0","2448",Probable
Punxsutawney,PA,"1","0","0","0","0","2447",Do not Know
Millvale,PA,"1","2","0","0","0","2446",Possible
General,MS,"0","0","0","0","0","2445",Do not Know
Falls Church,VA,"1","1","4","1","0","2444",Unlikely
Clintwood,VA,"1","3","0","0","0","2443",Probable
Elkton,VA,"1","2","0","0","0","2442",Possible
Fieldale,VA,"1","2","0","0","0","2441",Possible
Narrows,VA,"1","2","0","0","0","2440",Possible
Grundy,VA,"1","4","2","0","0","2439",Surely
Weber City,VA,"1","2","0","0","0","2438",Possible
Poquoson,VA,"1","2","0","3","0","2437",Possible
